,,,T_DMSO_1,T_DMSO_2,T_DMSO_3,T_DMSO_4,T_DMSO_5,T_DMSO_6,T_BML_1,T_BML_2,T_BML_3,T_BML_4,T_BML_5,T603_BML_6
Linoelaidic Acid__Cp,Linoelaidic Acid,Linoelaidic Acid_m280.239_r7.11Cp,0.000907347,0.000624728,0.001462218,0.001199132,0.001381048,0.000891613,0.00188074,0.00255696,0.001201985,0.000743147,0.001299705,0.001506394
Octadecadienoic acid__Cp,Octadecadienoic acid,Octadecadienoic acid_m280.239_r8.4Cp,0.001069465,0.000548042,0.001114658,0.001662033,0.001291277,0.000778735,0.001301988,0.001853459,0.001101328,0.000700727,0.000897072,0.001388279
Linoleic Acid __Cp,Linoleic Acid ,Linoleic Acid _m280.239_r7.99Cp,0.0040209,0.002198981,0.004887694,0.006146395,0.003167872,0.001737669,0.004646711,0.006801772,0.003969265,0.002811308,0.002643143,0.003644774
Hydroxyheptadecadienoic acid__Cn,Hydroxyheptadecadienoic acid,Hydroxyheptadecadienoic acid_m282.22_r6.97Cn,0.010796074,0.013089622,0.01881333,0.01399445,0.027640404,0.016859595,0.022890627,0.018608721,0.02293158,0.014611589,0.020908875,0.030719678
Vaccenic acid __Cp,Vaccenic acid ,Vaccenic acid _m282.255_r8.67Cp,0.001128261,0.000716721,0.001566305,0.001723511,0.002060674,0.001068243,0.001840435,0.001860151,0.001604994,0.001047522,0.001254474,0.001904348
Octadecenoic acid__Cp,Octadecenoic acid,Octadecenoic acid_m282.255_r9.09Cp,0.007338877,0.005687661,0.008087763,0.009513573,0.009451228,0.006080437,0.009832667,0.009463868,0.008133715,0.004996442,0.006954608,0.011024775
Stearate__Cn,Stearate_,Stearate___m284.271_r7.36Cn,0.001589319,0.002666138,0.003479846,0.003658041,0.001988422,0.002097307,0.001608811,0.005291727,0.003443474,0.002477557,0.020672019,0.005293224
Tetradecanoylglycine__Cp,Tetradecanoylglycine,Tetradecanoylglycine_m285.23_r2.88Cp,0.004109883,0.003227179,0.004358363,0.001022237,0.006374447,0.005161988,0.005948838,0.002594115,0.004455096,0.002474353,0.002494721,0.003805706
Myristoylglycine__Cp,Myristoylglycine,Myristoylglycine_m285.23_r6.57Cp,0.004478935,0.001876982,0.005196368,0.005493083,0.004055052,0.002153984,0.005072064,0.00840854,0.003340986,0.002271432,0.002974433,0.00405713
Myristoylglycine__Cn,Myristoylglycine_,Myristoylglycine___m285.233_r7Cn,0,0.005598807,0.015379962,0.005584402,0.003701091,0.009022033,0.007163904,0.012568402,0.005397782,0.006793461,0.011012135,0.01108195
Hexadecanedioate__Cn,Hexadecanedioate_,Hexadecanedioate__m286.213_r4.65Cn,0.019191606,0.014517271,0.031178691,0.02570906,0.020356469,0.014629865,0.023628851,0.042184785,0.025579032,0.013979368,0.021260377,0.027742823
Methoxyhexadecanoic acid__Cn,Methoxyhexadecanoic acid_,Methoxyhexadecanoic acid___m286.25_r7.23Cn,0.013295186,0.016503144,0.024350763,0.016448116,0.022445933,0.025825171,0.029994237,0.030081563,0.031158658,0.013137817,0.027536725,0.027667585
Dihydroxypalmitic acid__Cn,Dihydroxypalmitic acid,Dihydroxypalmitic acid_m288.23_r7.21Cn,0.064332364,0.073962263,0.0757049,0.057614744,0.11686235,0.061571713,0.114476588,0.09794266,0.107437427,0.066461833,0.11067678,0.140257696
Androstenediol__Cp,Androstenediol,Androstenediol_m290.222_r6.43Cp,0.000723098,0.000425975,0.000816946,0.000683095,0.001284229,0.000780007,0.00104215,0.000966726,0.000998709,0.000567456,0.000428424,0.000961009
"12,13-EpOME__Cp","12,13-EpOME","12,13-EpOME_m296.234_r5.23Cp",0.006234487,0.002495296,0.006216228,0.006167177,0.005396694,0.003578044,0.007860799,0.008061778,0.005348592,0.003230885,0.00458348,0.006314814
Nonadecenoate__Cp,Nonadecenoate,Nonadecenoate_m296.27_r9.12Cp,0.001139041,0.000711003,0.001195877,0.001084747,0.001546814,0.000891255,0.001786737,0.001578682,0.001876684,0.000974197,0.001336456,0.001744095
9S-HOME__Cp,9S-HOME,9S-HOME_m298.25_r7.8Cp,0.001645924,0.000967618,0.001688148,0.002271718,0.001459978,0.000895349,0.002070929,0.002278974,0.001306082,0.000897456,0.001240933,0.001808018
9E-HOME__Cp,9E-HOME,9E-HOME_m298.25_r8.01Cp,0.010115541,0.006958111,0.011342891,0.016545794,0.008505782,0.005761951,0.012284607,0.018020401,0.011305242,0.006766768,0.008464824,0.012956025
12S-HOME__Cp,12S-HOME,12S-HOME_m298.25_r7.1Cp,0.001483363,0.000521854,0.001543874,0.002001622,0.001293952,0.000797449,0.001550268,0.002524008,0.001079796,0.00078609,0.00116073,0.001465108
Oxostearic acid__Cn,Oxostearic acid_,Oxostearic acid___m298.251_r6.55Cn,0.037742716,0.031064542,0.051826057,0.0363233,0.056039392,0.038119162,0.06408275,0.051808176,0.055703722,0.034308062,0.04605391,0.055485664
13R-HOME__Cn,13R-HOME_,13R-HOME__m298.251_r7.57Cn,0.187996466,0.541995452,0.632649701,0.418322875,0.572058161,0.395605235,0.264920549,0.742169438,0.897999069,0.537009926,0.41205127,0.677532535
Tetranor-PGF1alpha__Cn,Tetranor-PGF1alpha,Tetranor-PGF1alpha_m300.192_r4.65Cn,0.014122122,0.012037426,0.028924284,0.01795112,0.016849031,0.012504868,0.016091431,0.041425406,0.01915583,0.011519635,0.015957028,0.020155511
Retinoic acid__Cn,Retinoic acid_,Retinoic acid___m300.211_r7.34Cn,0.007006468,0.01183674,0.016253997,0.007122883,0.01557584,0.014928302,0.012420336,0.000379918,0.026702266,0.000260815,0.016131122,0.019883605
MG_14-1__Cn,MG_14-1_,MG_14-1__m300.23_r6.97Cn,0.010722776,0.014411265,0.017429448,0.01357313,0.029975456,0.016724423,0.02525388,0.020650473,0.02825203,0.015243889,0.021856691,0.033970279
HSA_Hydroxystearic acid__Cn,HSA_Hydroxystearic acid_,HSA_Hydroxystearic acid___m300.266_r7.42Cn,0.014775999,0.012989213,0.016581607,0.0146709,0.021556759,0.017999849,0.027990574,0.029762658,0.023711959,0.011451308,0.020125825,0.0215217
Hydroxystearic acid iso__Cn,Hydroxystearic acid iso_,HOD__Hydroxystearic acid iso___m300.266_r7.66Cn,0.012012105,0.013787163,0.027481736,0.017435831,0.013604089,0.021739948,0.012193124,0.035389429,0.029161335,0.017480659,0.016897937,0.023295392
"HOD, Hydroxyoctadecanoic acid__Cn","HOD, Hydroxyoctadecanoic acid","HOD, Hydroxyoctadecanoic acid_m300.267_r7.07Cn",0.129700262,0.14026908,0.185219919,0.149274288,0.174608334,0.117946052,0.189863875,0.230016909,0.224363463,0.130560862,0.17449856,0.222433572
"EPA, Eicosapentaenoate__Cp","EPA, Eicosapentaenoate","EPA, Eicosapentaenoate_m302.224_r9.07Cp",0.000396916,0.000208608,0.00023012,0.00022514,0.000367296,0.00022433,0.000475552,0.000248023,0.000368073,0.000172806,0.000435813,0.000431668
"EPA, Eicosapentaenoic Acid__Cn","EPA, Eicosapentaenoic Acid_","EPA, Eicosapentaenoic Acid___m302.227_r7.48Cn",0.002355178,0.003343399,0.004435761,0.002192547,0.003801776,0.003495292,0.002506215,0.00503192,0.007300974,0.003130892,0.005371997,0.004916408
AA_Arachidonate_PUFA__Cp,AA_Arachidonate_PUFA,AA_Arachidonate_PUFA_m304.238_r8.44Cp,0.000417424,0.000316989,0.000336654,0.000709672,0.000523161,0.000405051,0.000573219,0.000533177,0.00050104,0.000278641,0.000407226,0.000533271
"ETA, Eicosatetraenoic acid__Cp","ETA, Eicosatetraenoic acid","ETA, Eicosatetraenoic acid_m304.239_r8.05Cp",0.000788356,0.000515186,0.000764857,0.000939792,0.000839251,0.000592414,0.00080561,0.001247746,0.000688622,0.000481409,0.000385577,0.000747639
"AA, Arachidonate_PUFAs__Cn","AA, Arachidonate_PUFAs_","AA, Arachidonate_PUFAs___m304.241_r7.01Cn",0.000233396,0.000204241,0.00048129,0.000110633,0,7.99E-05,0.000102545,0.000166118,0.000142476,0.000111006,0.000550786,0.000176114
Eicosatrienoic Acid__Cp,Eicosatrienoic Acid,Eicosatrienoic Acid_m306.254_r8.01Cp,0.001356446,0.000553364,0.000754759,0.000923869,0.000710588,0.000537593,0.001416178,0.001390702,0.000809297,0.000628623,0.000649964,0.00081168
Glutathione__Cp,Glutathione,Glutathione_m307.083_r1.19Cp,0.00072261,0.00063217,5.84E-05,0.000766828,0.000568357,0.000293411,0.001350234,0.000908681,0.000108332,0.000611643,0.000544273,0.000489281
Fructosyl-lysine__Cn,Fructosyl-lysine_,Fructosyl-lysine___m308.162_r3.87Cn,0.017680653,0.041178707,0.015928019,0.010479956,0.011453802,0.03244593,0.032136744,0.069754427,0.014269408,0.013535214,0.028180403,0.017226001
"13S-HpODE, Hydroperoxylinoleate__Cn","13S-HpODE, Hydroperoxylinoleate","13S-HpODE, Hydroperoxylinoleate_m312.228_r6.44Cn",0.006488132,0.005046067,0.006955955,0.0075568,0.007994002,0.006094263,0.010253644,0.004414316,0.007803157,0.003924619,0.008020899,0.010245108
Oxo-hydroxyoctadecenoic acid__Cn,Oxo-hydroxyoctadecenoic acid_,Oxo-hydroxyoctadecenoic acid___m312.229_r4.72Cn,0.027550116,0.017908045,0.034688604,0.035588733,0.021733274,0.01858879,0.028006769,0.046410691,0.03011576,0.016597526,0.021127712,0.03064205
Progesterone__Cn,Progesterone_,Progesterone___m314.229_r7.43Cn,0.010577371,0.015571066,0.021339328,0.010554284,0.02226404,0.017957757,0.018383024,0.020212659,0.033311977,0.016452529,0.025104633,0.024364197
Octadecanedioic acid__Cn,Octadecanedioic acid_,Octadecanedioic acid___m314.245_r7.72Cn,0.03809255,0.041648655,0.077589048,0.051052172,0.076464822,0.036003726,0.041976733,0.082811198,0.071624777,0.04405268,0.059346338,0.106693689
Docosahexaynoic acid__Cn,Docosahexaynoic acid,Docosahexaynoic acid_m316.145_r4.87Cn,0.051731611,0.095024393,0.042041926,0.02856513,0.04792124,0.075402471,0.077865474,0.203614614,0.07790443,0.051186544,0.026189451,0.052061254
Dihydroxystearic acid__Cn,Dihydroxystearic acid_,Dihydroxystearic acid___m316.261_r7.24Cn,0.062724948,0.074156303,0.106959292,0.097166135,0.116389686,0.083422018,0.116621714,0.143919565,0.164848558,0.093438201,0.121134741,0.161206264
MG_15-0__Cp,MG_15-0_,MG_15-0__m316.261_r5.46Cp,0.002976358,0.001362081,0.000922515,0.003557979,0.003564346,0.000650801,0.004299105,0.003454947,0.00262703,0.001531246,0.00224365,0.003693198
MG_15-0__Cn,MG_15-0,MG_15-0_m316.262_r6.54Cn,0.039625845,0.033831918,0.05988178,0.04008499,0.056910841,0.039607237,0.067577472,0.061238308,0.059528184,0.035570661,0.048453294,0.060771662
"LTA4, leukotriene__Cp","LTA4, leukotriene","LTA4, leukotriene_m317.209_r1.51Cp",0.000293024,0.000135729,0.000253537,0.000387234,0.000550317,0.000216175,0.002896409,0.000440272,0.000115432,0.000143996,6.08E-05,0.000155836
"EpETE, epoxy-eicosatetraenoic acid__Cn","EpETE, epoxy-eicosatetraenoic acid","EpETE, epoxy-eicosatetraenoic acid_m318.22_r7.34Cn",0.009202,0.013492743,0.018788222,0.007598044,0.017654646,0.017487595,0.015178125,0.020282855,0.03101946,0.01457448,0.018960925,0.022721281
Docosapentaynoic acid__Cn,Docosapentaynoic acid,Docosapentaynoic acid_m320.181_r4.02Cn,0.011655464,0.008168547,0.017296942,0.010305323,0.009662668,0.009022413,0.012746315,0.026217053,0.013419218,0.007351001,0.010157999,0.012415039
EET_Epoxyeicosatrienoate__Cn,EET_Epoxyeicosatrienoate_,EET_Epoxyeicosatrienoate__m320.237_r7.24Cn,0.005699263,0.007933463,0.009490197,0.005736743,0.008337744,0.007352803,0.006253138,0.014403091,0.011702286,0.005629658,0.00746473,0.009171264
Dinor-PGE2__Cn,Dinor-PGE2_,Dinor-PGE2__m324.194_r6.27Cn,0.009751214,0.010455906,0.01937116,0.014560825,0.009640468,0.008610297,0.010743181,0.028739234,0.014640418,0.009183356,0.012170931,0.012600852
"EPA-Na, Eicosapentaenoic Acid-Na__Cp","EPA-Na, Eicosapentaenoic Acid-Na","EPA-Na, Eicosapentaenoic Acid-Na_m324.208_r9.09Cp",0.000500342,0.000454102,0.000637989,0.000498746,0.000661594,0.000592311,0.00065455,0.000672631,0.000688524,0.000418554,0.00052103,0.00079818
20-HEDE__Cp,20-HEDE,20-HEDE_m324.265_r8.41Cp,8.17E-05,0.000129759,0.000139606,0.000756156,0.000257522,7.76E-05,0.000186847,0.000101819,0.000141842,0.000115349,0.000140833,0.000192307
Oxo-11-eicosenoic acid__Cn,Oxo-11-eicosenoic acid,Oxo-11-eicosenoic acid_m324.266_r7.48Cn,0.01377887,0.018312332,0.025005887,0.016495814,0.023828352,0.016769308,0.023356278,0.034383371,0.033732411,0.018840613,0.024893452,0.031836692
Dinor-PGF2alpha__Cn,Dinor-PGF2alpha,Dinor-PGF2alpha_m326.206_r4.66Cn,0.012781368,0.006342304,0.021749333,0.030034521,0.010228115,0.009256925,0.015011072,0.039265968,0.016083541,0.006636463,0.01311605,0.016480811
N-palmitoyl alanine__Cn,N-palmitoyl alanine_,N-palmitoyl alanine___m327.278_r7.51Cn,0.031992655,0.034355345,0.043783096,0.028803692,0.03003454,0.033370817,0.036214741,0.045478266,0.028444596,0.020548432,0.027593092,0.051162365
PGM_prostaglandin__Cn,PGM_prostaglandin,PGM_prostaglandin_m328.152_r3.99Cn,0.006189517,0.010435819,0.005163556,0.005958935,0.009608069,0.009044572,0.008287809,0.01228615,0.013062429,0.006724077,0.017433279,0.014854697
MG_16-1__Cp,MG_16-1,MG_16-1_m328.26_r8.44Cp,0.000513092,0.000593051,0.001035826,0.001163391,0.001166124,0.001044866,0.000573981,0.000762923,0.000913747,0.000739788,0.00071981,0.00076377
MG_16-1__Cn,MG_16-1_,MG_16-1__m328.262_r7.81Cn,0.019707697,0.021130359,0.023295208,0.017530892,0.018759631,0.018710253,0.017013103,0.039555108,0.023908099,0.018474047,0.037592243,0.039641539
Hydroxyicosanoate__Cn,Hydroxyicosanoate,Hydroxyicosanoate_m328.296_r7.57Cn,0.009246954,0.007658471,0.013712779,0.010152338,0.011810244,0.011408282,0.017937094,0.021274491,0.019862829,0.009115944,0.017512829,0.015595088
"Tetranor-PGFM, prostaglandin__Cn","Tetranor-PGFM, prostaglandin","Tetranor-PGFM, prostaglandin_m330.167_r3.99Cn",0.016146386,0.013439058,0.022984177,0.022787408,0.020000431,0.014338507,0.021735408,0.03880281,0.023709838,0.010633017,0.025108358,0.027871579
Hydroxyprogesterone__Cp,Hydroxyprogesterone,Hydroxyprogesterone_m330.222_r1.55Cp,0.001265431,0.001809237,0.003487065,0.002657169,0.005265409,0.003359388,0.002300193,0.002372836,0.005501479,0.002448224,0.004782502,0.005840987
"TriHOME, Trihydroxy-octadecenoic acid__Cn","TriHOME, Trihydroxy-octadecenoic acid_","TriHOME, Trihydroxy-octadecenoic acid___m330.238_r7.6Cn",0.048109467,0.050765714,0.062052104,0.043524876,0.044282635,0.030760797,0.031664313,0.06916805,0.061951347,0.048120962,0.024248893,0.047321912
Trihydroxy-octadecenoic acid iso__Cn,Trihydroxy-octadecenoic acid iso_,Trihydroxy-octadecenoic acid iso___m330.239_r4.75Cn,0.038731225,0.031381018,0.054908161,0.057684951,0.035395675,0.030657571,0.043360542,0.077908898,0.051225059,0.028030096,0.035654055,0.047148611
"PGA3, prostaglandin__Cn","PGA3, prostaglandin","PGA3, prostaglandin_m332.199_r4.67Cn",0.013298612,0.013617771,0.023423655,0.014266898,0.01765455,0.014610032,0.014813263,0.031652529,0.023751008,0.012989575,0.01721305,0.02222701
Hydroxyprogesterone__Cn,Hydroxyprogesterone,Hydroxyprogesterone_m332.199_r6.33Cn,0.006569476,0.00712037,0.013303039,0.008202364,0.007438645,0.007028654,0.006994768,0.020431615,0.013283906,0.006091775,0.009851231,0.009397146
Trihydroxy-stearic acid__Cn,Trihydroxy-stearic acid_,Trihydroxy-stearic acid___m332.255_r4.75Cn,0.025946604,0.020184396,0.034630915,0.032137016,0.021923041,0.018942111,0.027112768,0.049376639,0.031464534,0.01684034,0.02202751,0.029133251
Trihydroxy-octadecanoate__Cn,Trihydroxy-octadecanoate,Trihydroxy-octadecanoate_m332.255_r4.99Cn,0.018688145,0.025180836,0.029391127,0.032813828,0.020421699,0.020531802,0.025494183,0.03764978,0.036411709,0.018869395,0.030898098,0.028785256
Docosatetraenoic Acid__Cp,Docosatetraenoic Acid_,Docosatetraenoic Acid__m332.268_r7.79Cp,0.00024118,0.000142512,0.000289399,0.000270334,0.000578264,0.000294912,0.000616276,0,0.000425141,0.000315002,0.000275449,0.000511451
Lipoyllysine__Cn,Lipoyllysine,Lipoyllysine_m334.143_r6.14Cn,0.025330502,0.0150132,0.061757291,0.039462638,0.01317747,0.016603403,0.014979769,0.081193309,0.045830272,0.011370975,0.06960616,0.054138487
"Hydroxyoctadecanoic acid, 10-chloro-__Cn","Hydroxyoctadecanoic acid, 10-chloro-_","Hydroxyoctadecanoic acid, 10-chloro-___m334.229_r7.21Cn",0.014832886,0.016499851,0.028637797,0.019784086,0.017395784,0.017288259,0.014986938,0.043009004,0.026723949,0.012441513,0.01957423,0.020088722
"PGC1, Prostaglandin__Cn","PGC1, Prostaglandin_","PGC1, Prostaglandin__m336.229_r4.74Cn",0.016138295,0.015196226,0.032404535,0.022336088,0.018514395,0.017916904,0.016263928,0.057208035,0.02835574,0.014592117,0.019981736,0.022481186
DiHETE__Dihydroxyeicosatetraenoate__Cn,DiHETE_Dihydroxyeicosatetraenoate,DiHETE__Dihydroxyeicosatetraenoate_m336.229_r4.98Cn,0.024365082,0.049587265,0.055694659,0.035879954,0.026123616,0.036522261,0.024931448,0.067704457,0.075092783,0.034135632,0.048262109,0.044662004
12S-HpETE_Hydroperoxyeicosatetraenoic acid__Cn,12S-HpETE_Hydroperoxyeicosatetraenoic acid,12S-HpETE_Hydroperoxyeicosatetraenoic acid_m336.23_r6.66Cn,0.005062264,0.006674158,0.009879349,0.012438609,0.008540442,0.007045888,0.007247689,0.009283364,0.009403705,0.004828052,0.006197721,0.009256411
PGC1_Prostaglandin__Cn,PGC1_Prostaglandin,PGC1_Prostaglandin_m336.23_r7.22Cn,0.009431421,0.009232864,0.015248264,0.01057817,0.008455727,0.008629459,0.010095257,0.023139765,0.014344038,0.006803097,0.008454781,0.010061872
15S-HpETE__Cn,15S-HpETE_,15S-HpETE___m336.231_r6.93Cn,0.003135493,0.006189276,0.008604851,0.008995843,0.005755791,0.005217741,0.005710532,0.007678778,0.008072139,0.004648332,0.00619526,0.006527667
Hydroxy-oxo-dinor-LTB4__Cn,Hydroxy-oxo-dinor-LTB4,Hydroxy-oxo-dinor-LTB4_m338.172_r4.74Cn,0.01027095,0.003993571,0.014782344,0.008990088,0.005705753,0.005173321,0.005993277,0.026546429,0.008005719,0.003774155,0.007403707,0.009712906
DHET_Dihydroxyeicosatrienoic acid__Cn,DHET_Dihydroxyeicosatrienoic acid,DHET_Dihydroxyeicosatrienoic acid_m338.245_r7.23Cn,0.007561694,0.009917724,0.013482511,0.008836018,0.011444893,0.007188114,0.01050465,0.021431585,0.014054644,0.007421112,0.010483256,0.011788687
Docosenoic Acid__Cp,Docosenoic Acid,Docosenoic Acid_m338.317_r10.07Cp,0.000107645,7.40E-05,0,0.000206638,0.001114438,0.000133636,0.000208004,0.000183956,5.39E-05,0,0.000165209,0.000897742
N-Oleoyl Glycine__Cn,N-Oleoyl Glycine_,N-Oleoyl Glycine___m339.277_r7.51Cn,0.006731985,0.007430085,0.033995215,0.007759186,0.014253032,0.02103283,0.007983782,0.017370104,0.014677819,0.015951193,0.017868274,0.017453543
"Dehydro-dinor-TXB2, thromboxane__Cn","Dehydro-dinor-TXB2, thromboxane","Dehydro-dinor-TXB2, thromboxane_m340.187_r4.76Cn",0.013119817,0.012259883,0.020213189,0.014737,0.015783503,0.012834431,0.014869865,0.027789371,0.023247478,0.011572346,0.019142867,0.021881772
Dehydro-dinor-TXB2 iso__Cn,Dehydro-dinor-TXB2 iso,Dehydro-dinor-TXB2 iso_m340.187_r4.96Cn,0.007986066,0.011056628,0.010460581,0.014596763,0.011852683,0.007315364,0.011272417,0.019007971,0.018421997,0.007466719,0.016086428,0.018420444
N-stearoyl glycine__Cn,N-stearoyl glycine_,N-stearoyl glycine___m341.293_r7.46Cn,0.00507674,0.003832197,0.009583948,0.005641249,0.004663902,0.005985251,0.005870877,0.009464529,0.007300837,0.004990528,0.007783186,0.007346399
Dinor-keto-PGF1alpha__Cn,Dinor-keto-PGF1alpha,Dinor-keto-PGF1alpha_m342.204_r6.27Cn,0.009320139,0.010049512,0.019184602,0.013897747,0.010222432,0.008728634,0.010894172,0.027237995,0.014120517,0.009015214,0.012088301,0.012745843
Hydroxy-9-methoxy-10-oxo-11-octadecenoic acid__Cn,Hydroxy-9-methoxy-10-oxo-11-octadecenoic acid,Hydroxy-9-methoxy-10-oxo-11-octadecenoic acid_m342.239_r5.03Cn,0.018686348,0.023346422,0.034989413,0.024605528,0.01451219,0.005191821,0.007373667,0.039116489,0.036218276,0.016328323,0.029620002,0.025562372
